sub,video,emotion,r_anger,r_disgust,r_fear,r_happy,r_pain,r_sad,original_code,high_low_code,movie_cope_number,actor
05,JvG_P_16.mp4,pain,2.3,3.8,2.9,0.3,3.8,1.3,JvG_P_16,JvG_P_low,54,JvG
05,AK_P_21.mp4,pain,2,3.6,2.4,0,6.7,1.6,AK_P_21,AK_P_high,11,AK
05,AL_P_39.mp4,pain,2.7,4.5,3.7,0.4,6.4,2.6,AL_P_39,AL_P_high,25,AL
05,BP_P_18.mp4,pain,1,3,2,0.6,6.4,1.6,BP_P_18,BP_P_high,39,BP
05,JvG_P_20.mp4,pain,1.8,4.6,3.5,0.2,6.9,1.2,JvG_P_20,JvG_P_high,53,JvG
05,AK_S_06.mp4,sad,1.2,1.5,2.7,0.8,3.2,5.1,AK_S_06,AK_S_low,14,AK
05,AL_S_04.mp4,sad,1.8,3.5,3.6,0.2,3,5.1,AL_S_04,AL_S_low,28,AL
05,BP_S_13.mp4,sad,1.2,2.2,2.7,0.2,3.1,5,BP_S_13,BP_S_low,42,BP
05,JvG_S_12.mp4,sad,1.3,2,2.7,0.6,3.7,6.1,JvG_S_12,JvG_S_low,56,JvG
05,AK_S_23.mp4,sad,1.3,1.8,3.4,0.9,4.6,7.1,AK_S_23,AK_S_high,13,AK
05,AL_S_53.mp4,sad,1.7,3,5.8,0.2,4.7,7,AL_S_53,AL_S_high,27,AL
05,BP_S_18.mp4,sad,1.8,2.1,3.2,0.2,4.8,7.8,BP_S_18,BP_S_high,41,BP
05,JvG_S_24.mp4,sad,1.4,1.3,3.5,1.5,4.5,7.1,JvG_S_24,JvG_S_high,55,JvG
05,AK_N_01.mp4,neutral,1.8,1.4,0.8,0.2,1.1,2.3,AK_N_01,AK_N_low,10,AK
05,AL_N_01.mp4,neutral,1.5,0.9,1,0.3,0.9,1.9,AL_N_01,AL_N_low,24,AL
05,BP_N_01.mp4,neutral,0.8,1.2,0.4,0.9,0.7,1.3,BP_N_01,BP_N_low,38,BP
05,JvG_N_08.mp4,neutral,0.8,1.1,0.6,1.9,0.7,1.2,JvG_N_08,JvG_N_low,52,JvG
05,AK_N_09.mp4,neutral,2,2,1.4,0.8,1.9,2.1,AK_N_09,AK_N_high,9,AK
05,AL_N_06.mp4,neutral,1.8,1.9,1.4,0.3,1.5,2.4,AL_N_06,AL_N_high,23,AL
05,BP_N_07.mp4,neutral,2,1.9,1.1,0.9,1.4,1.9,BP_N_07,BP_N_high,37,BP
05,JvG_N_17.mp4,neutral,1.4,1.7,0.8,0.8,1.1,2,JvG_N_17,JvG_N_high,51,JvG
07,AK_A_04.mp4,anger,6.5,2.2,1.2,0.1,2.2,1.1,AK_A_04,AK_A_low,2,AK
07,AL_A_03.mp4,anger,5.3,2.3,1.8,0.3,1.5,1.7,AL_A_03,AL_A_low,16,AL
07,BP_A_10.mp4,anger,5.2,2.3,0.9,0.6,1.6,1.6,BP_A_10,BP_A_low,30,BP
