sub,run,movie_number,onset_sec,rating
3,2,50,304.62,1
3,2,51,326.51,1
3,2,52,137.75,1
3,2,53,244.35,1
3,2,54,53.57,6
3,2,55,408.18,1
3,2,56,77.97,2
3,3,1,418.39,5
3,3,2,137.11,2
3,3,3,239.1,5
3,3,4,117.64,3
3,3,5,309.26,6
3,3,6,209.32,5
3,3,7,64.19,5
3,3,8,349.46,5
3,3,9,203.42,4
3,3,10,401.27,2
3,3,11,70.73,4
3,3,12,250.25,5
3,3,13,359.07,3
3,3,14,59.51,5
3,3,15,145.97,6
3,3,16,295.98,6
3,3,17,181.92,5
3,3,18,93.57,5
3,3,19,395.24,5
3,3,20,21.84,4
3,3,21,263.51,7
3,3,22,445.89,7
3,3,23,128.59,8
3,3,24,318.66,6
3,3,25,286.87,2
3,3,26,281.3,2
3,3,27,387.63,2
3,3,28,40.46,2
3,3,29,428.45,4
3,3,30,84.62,3
3,3,31,169.87,4
3,3,32,215.8,5
3,3,33,112.68,5
3,3,34,233.45,3
3,3,35,28.34,5
3,3,36,337.16,2
3,3,37,153.65,7
3,3,38,452.05,6
3,3,39,344.28,6
3,3,40,228.55,6
3,3,41,104.05,3
3,3,42,161.23,4
3,3,43,33.91,5
3,3,44,328.66,5
3,3,45,436.14,7
3,3,46,270.08,6
3,3,47,370.4,6
3,3,48,192.79,8
3,3,49,220.63,1
3,3,50,49.64,1
3,3,51,410.34,1
3,3,52,79.88,1
3,3,53,303,1
3,3,54,255.31,6
3,3,55,379,1
3,3,56,177.11,2
3,4,1,324.13,5
3,4,2,230.34,2
3,4,3,405.44,5
3,4,4,76.89,3
3,4,5,273.75,6
3,4,6,187.82,5
3,4,7,451.31,5
3,4,8,69.41,5
3,4,9,221.93,4
3,4,10,124.48,2
3,4,11,312.43,4
3,4,12,299.73,5
3,4,13,396.21,3
3,4,14,163.33,5
3,4,15,433.44,6
3,4,16,27.28,6
3,4,17,92.11,5
3,4,18,38.82,5
3,4,19,143.58,5
3,4,20,306.47,4
3,4,21,252.79,7
3,4,22,364.47,7
3,4,23,441.07,8
3,4,24,238.68,6
3,4,25,318.99,2
3,4,26,20.83,2
3,4,27,106.88,2
3,4,28,263.25,2
3,4,29,461.13,4
3,4,30,359.58,3
3,4,31,133.93,4
3,4,32,214.44,5
3,4,33,246.97,5
3,4,34,420.52,3
3,4,35,340.24,5
3,4,36,62.21,2
3,4,37,209.8,7
3,4,38,389.46,6
3,4,39,99.53,6
3,4,40,182.85,6
3,4,41,153.31,3
3,4,42,379.51,4
3,4,43,334.73,5
3,4,44,57.03,5
3,4,45,425.73,7
3,4,46,293.33,6
3,4,47,117.35,6
3,4,48,201.19,8
3,4,49,369.92,1
3,4,50,85.58,1
3,4,51,192.46,1
3,4,52,411.51,1
3,4,53,348.2,1
3,4,54,173.85,6
3,4,55,46.01,1
3,4,56,285.16,2
3,5,1,326.37,5
3,5,2,86.7,2
3,5,3,416.39,5
3,5,4,51.47,3
3,5,5,205.98,6
3,5,6,266.17,5
3,5,7,370.53,5
3,5,8,170.98,5
3,5,9,102.76,4
3,5,10,451.07,2
3,5,11,242.88,4
3,5,12,341.83,5
3,5,13,390.56,3
3,5,14,257.62,5
3,5,15,25.98,6
3,5,16,179.23,6
3,5,17,397.6,5
3,5,18,248.51,5
3,5,19,232.78,5
3,5,20,461.32,4
3,5,21,303.16,7
3,5,22,125.52,7
3,5,23,57.91,8
3,5,24,158.74,6
3,5,25,223.14,2
3,5,26,151.34,2
3,5,27,359.1,2
3,5,28,32.62,2
3,5,29,134.32,4
3,5,30,310.51,3
3,5,31,428.25,4
3,5,32,280.56,5
3,5,33,375.74,5
3,5,34,445.91,3
3,5,35,336.17,5
3,5,36,293.56,2
3,5,37,166.35,7
3,5,38,113.97,6
3,5,39,214.42,6
3,5,40,67.12,6
3,5,41,40.57,3
3,5,42,288.51,4
3,5,43,319.64,5
3,5,44,96.93,5
3,5,45,434.39,7
3,5,46,382.23,6
3,5,47,140.32,6
3,5,48,189.52,8
3,5,49,271.67,1
3,5,50,348.2,1
3,5,51,407.61,1
3,5,52,77.25,1
3,5,53,146.56,1
3,5,54,71.86,6
3,5,55,199.42,1
3,5,56,422.74,2
3,6,1,414.43,5
3,6,2,280.84,2
3,6,3,73.37,5
3,6,4,203.21,3
3,6,5,332.85,6
3,6,6,116.23,5
3,6,7,427.8,5
3,6,8,145.86,5
3,6,9,176.59,4
3,6,10,306.7,2
3,6,11,220.71,4
3,6,12,54.46,5
3,6,13,82.97,3
3,6,14,461.41,5
3,6,15,349.89,6
3,6,16,371.58,6
3,6,17,131.42,5
3,6,18,392.79,5
3,6,19,437.45,5
3,6,20,364.81,4
3,6,21,169.12,7
3,6,22,37.12,7
3,6,23,196.83,8
3,6,24,253.15,6
3,6,25,289.4,2
3,6,26,313.75,2
3,6,27,111.32,2
3,6,28,163.1,2
3,6,29,210.79,4
3,6,30,471.32,3
3,6,31,382.21,4
3,6,32,61.83,5
3,6,33,296.79,5
3,6,34,245.1,3
3,6,35,136.31,5
3,6,36,324.69,2
3,6,37,92.92,7
3,6,38,47.48,6
3,6,39,422.66,6
3,6,40,448.92,6
3,6,41,229.02,3
3,6,42,186.44,4
3,6,43,22.54,5
3,6,44,360.24,5
3,6,45,398.4,7
3,6,46,481.38,6
3,6,47,121.01,6
3,6,48,264.25,8
3,6,49,342.14,1
3,6,50,31.99,1
3,6,51,269.94,1
3,6,52,100.79,1
3,6,53,454.36,1
3,6,54,405.67,6
3,6,55,154.21,1
3,6,56,236.75,2
3,7,1,274.77,5
3,7,2,445.19,2
3,7,3,87.36,5
3,7,4,55.76,3
3,7,5,134.2,6
3,7,6,367.04,5
3,7,7,323.83,5
3,7,8,237.87,5
3,7,9,375.61,4
3,7,10,438.07,2
3,7,11,228.64,4
3,7,12,43.31,5
3,7,13,104.4,3
3,7,14,344.86,5
3,7,15,292.29,6
3,7,16,186.58,6
3,7,17,76.94,5
3,7,18,351.79,5
3,7,19,64.6,5
3,7,20,263.17,4
3,7,21,143.55,7
3,7,22,202.32,7
3,7,23,360.63,8
3,7,24,465.38,6
3,7,25,384.35,2
3,7,26,176.45,2
3,7,27,220.7,2
3,7,28,418.88,2
3,7,29,298.8,4
3,7,30,309.42,3
3,7,31,33.09,4
3,7,32,117.39,5
3,7,33,408.36,5
3,7,34,331.3,3
3,7,35,246.77,5
3,7,36,424.76,2
3,7,37,94.67,7
3,7,38,152.43,6
3,7,39,256.21,6
3,7,40,48.32,6
3,7,41,430.31,3
3,7,42,319.15,4
3,7,43,401.33,5
3,7,44,163.28,5
3,7,45,22.46,7
3,7,46,127.18,6
3,7,47,195.72,6
3,7,48,268.23,8
3,7,49,285.43,1
3,7,50,71.71,1
3,7,51,336.53,1
3,7,52,170.77,1
3,7,53,111.05,1
3,7,54,210.72,6
3,7,55,394.92,1
3,7,56,455.4,2
3,8,1,382.45,5
3,8,2,93.88,2
3,8,3,336.79,5
3,8,4,22.6,3
3,8,5,240.51,6
3,8,6,416.92,5
3,8,7,130.17,5
3,8,8,195.18,5
3,8,9,344.11,4
3,8,10,265.35,2
3,8,11,119.07,4
3,8,12,200.6,5
3,8,13,412.1,3
3,8,14,422.39,5
3,8,15,148,6
3,8,16,62.36,6
3,8,17,457.44,5
3,8,18,30.08,5
3,8,19,84.38,5
3,8,20,164.41,4
3,8,21,307.66,7
3,8,22,392.51,7
3,8,23,258.69,8
3,8,24,224.68,6
3,8,25,216.67,2
3,8,26,44.08,2
3,8,27,401.34,2
3,8,28,141.62,2
3,8,29,350.54,4
3,8,30,78.2,3
3,8,31,296.58,4
3,8,32,465,5
3,8,33,209.57,5
3,8,34,35.32,3
3,8,35,406.95,5
3,8,36,451.64,2
3,8,37,183,7
3,8,38,285.31,6
3,8,39,111.31,6
3,8,40,327.3,6
3,8,41,106.18,3
3,8,42,249.61,4
3,8,43,230.93,5
3,8,44,172.7,5
3,8,45,316.33,7
3,8,46,366.47,6
3,8,47,443.82,6
3,8,48,51.36,8
3,8,49,355.64,1
3,8,50,158.27,1
3,8,51,101.44,1
3,8,52,371.44,1
3,8,53,68.27,1
3,8,54,276.26,6
3,8,55,432.96,1
3,8,56,189.45,2
5,1,1,454.09,7
5,1,2,27.65,4
5,1,3,81.86,5
5,1,4,238.67,4
5,1,5,203.19,7
5,1,6,395.57,7
5,1,7,295.62,3
5,1,8,132.39,6
5,1,9,127.59,3
5,1,10,403.28,4
5,1,11,444.07,4
5,1,12,120.36,5
5,1,13,290.69,8
5,1,14,210.23,7
5,1,15,32.89,6
5,1,16,317.37,7
5,1,17,67.5,5
5,1,18,113.37,6
5,1,19,375.77,7
5,1,20,347.83,6
5,1,21,137.47,6
5,1,22,227.16,8
5,1,23,284.17,9
5,1,24,413.56,6
5,1,25,215.73,3
5,1,26,359.06,3
5,1,27,337.7,5
5,1,28,57.05,5
5,1,29,87.47,5
5,1,30,142.26,6
5,1,31,419.42,7
5,1,32,265.34,5
5,1,33,48.97,4
5,1,34,353.89,4
5,1,35,192.14,4
5,1,36,103.84,5
5,1,37,254.22,8
5,1,38,425.36,7
5,1,39,304.27,6
5,1,40,168.19,8
5,1,41,328.25,5
5,1,42,98.86,4
5,1,43,153.71,4
5,1,44,365.42,6
5,1,45,275.79,7
5,1,46,463.03,8
5,1,47,182.38,8
5,1,48,22.44,8
5,1,49,436.25,2
5,1,50,39.22,3
5,1,51,76.44,3
5,1,52,310.89,2
5,1,53,246.08,3
5,1,54,177.65,3
5,1,55,386.48,4
5,1,56,159.06,4
5,2,1,266.45,7
5,2,2,229.44,4
5,2,3,34.8,5
5,2,4,83.72,4
5,2,5,418.9,7
5,2,6,358.29,7
5,2,7,164.61,3
5,2,8,348.47,6
5,2,9,93.5,3
5,2,10,153.62,4
5,2,11,400.36,4
5,2,12,292.56,5
5,2,13,333.77,8
5,2,14,69.82,7
5,2,15,205.24,6
5,2,16,438.84,7
5,2,17,217.56,5
5,2,18,324.68,6
5,2,19,424.66,7
5,2,20,19.94,6
5,2,21,131.72,6
5,2,22,407.62,8
5,2,23,275.8,9
5,2,24,185.42,6
5,2,25,44.47,3
5,2,26,103.77,3
5,2,27,234.9,5
5,2,28,378.37,5
5,2,29,341.42,5
5,2,30,148.48,6
5,2,31,241.41,7
5,2,32,463.51,5
5,2,33,212.25,4
5,2,34,141.06,4
5,2,35,444.63,4
5,2,36,281.77,5
5,2,37,28.18,8
5,2,38,315,7
5,2,39,365.42,6
5,2,40,74.97,8
5,2,41,370.14,5
5,2,42,59.59,4
5,2,43,432.82,4
5,2,44,300.78,6
5,2,45,121.79,7
5,2,46,178.73,8
5,2,47,223.71,8
5,2,48,249.98,8
5,2,49,389.04,2
5,2,50,196.09,3
5,2,51,305.63,3
5,2,52,110.52,2
5,2,53,169.36,3
5,2,54,260.18,3
5,2,55,455.51,4
5,2,56,51.08,4
5,3,1,262.29,7
5,3,2,146.88,4
5,3,3,116.94,5
5,3,4,304.13,4
5,3,5,192.54,7
5,3,6,410.45,7
5,3,7,70.17,3
5,3,8,477.96,6
5,3,9,319.65,3
5,3,10,137.9,4
5,3,11,399.14,4
5,3,12,209.73,5
5,3,13,279.14,8
5,3,14,47.65,7
5,3,15,128.51,6
5,3,16,466.79,7
5,3,17,80.39,5
5,3,18,232.03,6
5,3,19,289.5,7
5,3,20,330.08,6
5,3,21,160.59,6
5,3,22,375.96,8
5,3,23,41.93,9
5,3,24,458.82,6
5,3,25,65.39,3
5,3,26,341.12,3
5,3,27,199.68,5
5,3,28,424.99,5
5,3,29,165.98,5
5,3,30,110.6,6
5,3,31,247.78,7
5,3,32,417.35,5
5,3,33,174.45,4
5,3,34,85.77,4
5,3,35,297.75,4
5,3,36,430.2,5
5,3,37,56.31,8
5,3,38,313.03,7
5,3,39,220.85,6
5,3,40,367.53,8
5,3,41,32.27,5
5,3,42,243.18,4
5,3,43,451.49,4
5,3,44,391.34,6
5,3,45,358.76,7
5,3,46,269.04,8
5,3,47,152.18,8
5,3,48,102.49,8
5,3,49,383.16,2
5,3,50,21.43,3
5,3,51,348.08,3
5,3,52,252.65,2
5,3,53,227.33,3
5,3,54,91.69,3
5,3,55,441.01,4
5,3,56,181.78,4
5,4,1,258.54,7
5,4,2,416.8,4
5,4,3,309.31,5
5,4,4,358.03,4
5,4,5,22.78,7
5,4,6,77.57,7
5,4,7,147.98,3
5,4,8,175.95,6
5,4,9,130.08,3
5,4,10,317.03,4
5,4,11,107.33,4
5,4,12,51.1,5
5,4,13,279.77,8
5,4,14,209.52,7
5,4,15,434.85,6
5,4,16,399.85,7
5,4,17,139.22,5
5,4,18,201.9,6
5,4,19,235.88,7
5,4,20,382.61,6
5,4,21,327.63,6
5,4,22,88.62,8
5,4,23,408.16,9
5,4,24,29.62,6
5,4,25,457.48,3
5,4,26,348.87,3
